Series Name,Series Code,Country Name,Country Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CO2 emissions (kt),EN.ATM.CO2E.KT,Afghanistan,AFG,1088.638,1403.03,1653.207,1292.307,1961.711,2283.68,2847.81,4375.64,6558.97,8576.15,11961.89,10208.13,9402.05,9281.34,10057.59,9294.93,10022.78,10972.38,11238.83,8709.47
CO2 emissions (kt),EN.ATM.CO2E.KT,Albania,ALB,3234.2,3761.9,4137.4,4322.3,4095.9,4081.8,4258.4,4209.5,4368.2,4785.4,5136.7,4541.8,4795.4,5188,4797,4573.2,5403.7,5316.1,4993.3,4383.2
CO2 emissions (kt),EN.ATM.CO2E.KT,Algeria,DZA,78645.5,82404.3,88188.9,89492.7,94187.8,99808.7,102750.2,107745.5,112172.2,114179.4,120784.9,134934.2,139024.1,147735.2,156273,154654.3,157704.4,164534.1,170582.4,161563
CO2 emissions (kt),EN.ATM.CO2E.KT,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Andorra,AND,523.952,531.28,534.944,560.592,575.248,545.936,538.608,538.608,516.624,516.624,490.976,487.312,476.32,461.664,465.328,468.992,465.328,494.64,479.984,448.884399
CO2 emissions (kt),EN.ATM.CO2E.KT,Angola,AGO,15955.9,15689.5,16764.8,17453.6,15811.2,16558.6,16966.4,19275.3,21145,22801.5,23865.8,23868,26958.7,29610.5,31648.9,29520.7,25064.8,23637.4,24382.9,19814.5
CO2 emissions (kt),EN.ATM.CO2E.KT,Antigua and Barbuda,ATG,321.9,335.1,360.7,367.4,376.7,398,419.2,428.1,453.6,465.8,456.1,469.9,472.9,476.6,490.2,500.5,500.1,508.6,509,474.6
CO2 emissions (kt),EN.ATM.CO2E.KT,Argentina,ARG,125255.2,117462.1,127653.5,141376.4,145995.4,154917.5,162820.2,167231.8,156567.5,167226.3,176641.6,177955.3,183255.7,179600.7,185550,183158.7,179267.3,176894.6,168162,154535.9
CO2 emissions (kt),EN.ATM.CO2E.KT,Armenia,ARM,3602,3118.7,3495.4,3763.8,4460.9,4489.2,5204.4,5685.5,4510.8,4336.6,4937.1,5716.5,5501.5,5479,5343.4,5066.7,5371.3,5712.2,6195.6,6746.6
CO2 emissions (kt),EN.ATM.CO2E.KT,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Australia,AUS,345609.4,353315.8,352893.5,366141.6,368801.9,374104.4,384368.3,387570.3,393859.7,395993.2,394436.7,395690,388427.4,379267.2,385782.4,394803.6,397149.4,396059.9,395199.1,378996.8
CO2 emissions (kt),EN.ATM.CO2E.KT,Austria,AUT,67914.4,69374.2,74467.9,75802.1,76242.4,74104.4,71248,70734.7,64420.7,69965.1,68276,65112,65752.7,62054.5,63254.7,63697.1,65867.7,63131.4,64497.8,59142.4
CO2 emissions (kt),EN.ATM.CO2E.KT,Azerbaijan,AZE,26397.2,26177.6,28569.4,28311.9,30043.4,30488.4,27627.7,30447.6,25495.8,24311.9,27282.1,30110.6,30939.6,32243.4,31773.3,32239.4,31957,32728.1,35521,34305
CO2 emissions (kt),EN.ATM.CO2E.KT,"Bahamas, The",BHS,2034.5,2068.8,2116,2094.7,1955.6,1906.6,1931.7,1981.2,2008.5,1979.4,2183,2394.3,2805.4,2518.9,2207.4,2040.7,2170.2,2795.4,2622.7,2456
CO2 emissions (kt),EN.ATM.CO2E.KT,Bahrain,BHR,16386.32,17221.48,17944.11,17927.3,20693.7,22485.4,23001,24762.2,24717.1,25965.7,26017.6,27174.2,28853,30282.7,30492.4,30301.1,30514.9,30844.4,32966.8,32470.2
CO2 emissions (kt),EN.ATM.CO2E.KT,Bangladesh,BGD,25634.5,27284.2,28629.8,30527.5,32710.8,35902.8,37992.3,41580.8,44750,50487.6,54309.9,58985.2,62965.7,66313.1,73156.9,81128.9,87658,95944.6,92645,85493.1
CO2 emissions (kt),EN.ATM.CO2E.KT,Barbados,BRB,1216.8,1206.3,1249.9,1280.2,1326.1,1347.6,1367,1619,1599.7,1481.5,1516.25,1467.62,1439.47,1282.07,1269.57,1290.77,1179.97,1270.17,1167.27,1096.07
CO2 emissions (kt),EN.ATM.CO2E.KT,Belarus,BLR,51720.2,51752.9,52525.9,55753.4,56464.6,58794.1,57326.9,60231.7,57177.3,61443.7,58325.8,59738.3,59891.2,59431.8,54871.3,55201.4,56247,59271.6,57681.2,54801.5
CO2 emissions (kt),EN.ATM.CO2E.KT,Belgium,BEL,118339.8,110850.2,115502.1,113350.8,110960.2,108081.5,103905.8,106715.4,99904.4,106872.8,96488.2,95275.6,96550.6,90362.4,95096,94171.6,92587.4,93523.2,92989.4,85364.1
CO2 emissions (kt),EN.ATM.CO2E.KT,Belize,BLZ,481.4,449.7,450.2,409.6,435.3,461.2,491.6,450.9,532,531.2,573.4,465.3,457.4,483.7,675.1,651.3,643.1,630,736.2,687.6
CO2 emissions (kt),EN.ATM.CO2E.KT,Benin,BEN,1735.1,2177.3,2443.2,2646.4,2899.6,3471.4,3998.2,4017.6,4417.2,4825.1,4652.6,4444.7,4676.4,5186.1,5505.6,6739,6876.2,7604,7475.5,7980.4
CO2 emissions (kt),EN.ATM.CO2E.KT,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Bhutan,BTN,379.31,411.52,377.73,313.51,395.42,397.5,398.71,422.62,396.83,493.18,744.2,833.9,908,1012.4,1042.1,1228.4,1309.5,1454.3,1433,1035.2
