Time,Time Code,Country Name,Country Code,CO2 emissions (kt),CO2 emissions (metric tons per capita),"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",CO2 emissions from gaseous fuel consumption (% of total),CO2 emissions from liquid fuel consumption (% of total),CO2 emissions from manufacturing industries and construction (% of total fuel combustion),"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),CO2 emissions from solid fuel consumption (% of total),CO2 emissions from transport (% of total fuel combustion),GDP (current US$),GDP growth (annual %),GDP per capita (current US$),GDP per capita growth (annual %)
2010,YR2010,Afghanistan,AFG,8576.15,0.304230216,..,3.129850058,67.71472895,..,..,..,26.51913495,..,15856668496,14.36244147,562.4992194,11.09921992
2010,YR2010,Africa Eastern and Southern,AFE,532614.1402,1.017488422,62.26170379,2.206351675,22.35749153,13.71309754,2.044303537,4.566228847,79.29359506,17.41466628,8.67041E+11,5.157236643,1656.366272,2.334912275
2010,YR2010,Africa Western and Central,AFW,159573.957,0.447816577,31.75434919,18.29239003,63.36345708,7.765667575,5.847830643,5.784950744,0.668726701,48.83672186,5.98607E+11,6.969282599,1679.88783,4.008639501
2010,YR2010,Albania,ALB,4785.4,1.64276193,2.544529262,0.560458515,76.30242358,26.46310433,6.106870229,8.142493639,9.367663755,56.74300254,11926926616,3.706938153,4094.349686,4.223083827
2010,YR2010,Algeria,DZA,114179.4,3.184357,37.92419338,47.20687202,40.12827205,11.4336431,3.727680902,13.81434687,1.07605091,33.10013574,1.61207E+11,3.600000001,4495.921476,1.6921701
2010,YR2010,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,573000000,0.299850075,10446.86321,1.245264257
2010,YR2010,Andorra,AND,516.624,7.223590934,..,0,99.43211538,..,..,..,0,..,3449925694,-1.974958,48237.89054,1.222687703
2010,YR2010,Angola,AGO,22801.5,0.975916772,17.18440185,4.807073256,46.90109709,15.53205552,0.264375413,24.65300727,0,42.36615995,83799473760,4.398375938,3586.66368,0.571220941
2010,YR2010,Antigua and Barbuda,ATG,465.8,5.435556334,..,0,107.0165306,..,..,..,0,..,1148700000,-7.840594744,13404.51602,-9.089174819
2010,YR2010,Arab World,ARB,1533676.6,4.208452772,48.0045267,39.14931278,58.29582636,20.86866835,1.331509283,4.836121934,1.421557735,24.95702498,2.34609E+12,4.713732711,6437.734497,2.221725554
2010,YR2010,Argentina,ARG,167226.3,4.09984414,35.88533272,51.74234269,53.65719103,18.13262722,5.986645176,15.00690767,2.3750226,24.98273083,4.23627E+11,10.12539816,10385.96443,9.844296398
2010,YR2010,Armenia,ARM,4336.6,1.471883482,15.55555556,68.10142857,23.23559908,12.83950617,16.54320988,23.95061728,0.084493088,31.11111111,9260285756,2.2,3143.02948,2.824481883
2010,YR2010,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,2453597207,-2.733455707,24452.58874,-3.827863063
2010,YR2010,Australia,AUS,395993.2,17.97375152,62.92293474,16.81603743,29.63894049,9.765364276,1.573650973,3.252554295,53.25788537,22.48549571,1.14889E+12,2.226538078,52147.02419,0.648500068
2010,YR2010,Austria,AUT,69965.1,8.36562481,35.32838212,26.59046741,48.30627787,16.89238386,1.106742391,14.34396389,18.63901086,32.34309014,3.92275E+11,1.837093677,46903.76159,1.592577128
2010,YR2010,Azerbaijan,AZE,24311.9,2.685112496,42.49893753,74.46363561,36.03226087,6.119847004,4.46238844,25.92435189,0.09110559,21.03697408,52909294792,5.048944513,5843.533768,3.806491021
2010,YR2010,"Bahamas, The",BHS,1979.4,5.302835466,..,0,114.59375,..,..,..,0.176298077,..,10095760000,1.538662487,27046.65767,0.120061239
2010,YR2010,Bahrain,BHR,25965.7,21.39480655,84.02505873,94.51205543,15.85081216,2.819107283,0,0.861393892,0,12.33359436,25713271277,4.334299173,21186.81433,1.394890732
2010,YR2010,Bangladesh,BGD,50487.6,0.340233253,48.64593781,77.95818703,21.45245749,18.39518556,5.55667001,12.65797392,6.082667062,14.7442327,1.15279E+11,5.571788185,776.8595769,4.373484664
2010,YR2010,Barbados,BRB,1481.5,5.392940217,..,1.845031447,83.71830189,..,..,..,0,..,4531150000,-2.272188073,16494.24304,-2.599475975
2010,YR2010,Belarus,BLR,61443.7,6.478781371,62.12829937,67.62503986,27.56066374,7.350484464,3.458068827,8.787170063,3.698617212,18.27597728,57231904543,7.798266835,6034.678852,8.034088147
2010,YR2010,Belgium,BEL,106872.8,9.808816157,27.50830565,36.02249742,51.63833099,19.79117228,2.164214523,25.35358329,13.04304405,25.18272425,4.81421E+11,2.864292708,44184.94635,1.928764196
2010,YR2010,Belize,BLZ,531.2,1.649146554,..,1.964464286,93.63946429,..,..,..,0,..,1739070295,1.239952915,5399.062096,-1.254067768
2010,YR2010,Benin,BEN,4825.1,0.510824491,2.417582418,0,87.41608268,3.296703297,-4.69E-15,24.83516484,0,69.67032967,9535345016,2.114064726,1009.489495,-0.839355824
2010,YR2010,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,6634526000,-2.502878289,101875.2841,-1.736363236
2010,YR2010,Bhutan,BTN,493.18,0.699034466,..,0,66.31808511,..,..,..,16.38446809,..,1547990912,11.945896,2194.125876,10.70222196
2010,YR2010,Bolivia,BOL,14702.2,1.438111289,27.22627737,38.08413564,52.37178191,11.02189781,12.91970803,9.270072993,0,39.48905109,19649723722,4.126722591,1922.058571,2.375335576
2010,YR2010,Bosnia and Herzegovina,BIH,20842.5,5.468910715,67.74036115,2.199496161,21.41429463,7.857491459,4.929233773,2.781844802,76.22573896,16.59346022,17176315804,0.86566926,4506.932352,2.62997049
2010,YR2010,Botswana,BWA,3371.7,1.611970183,17.43119266,0,72.57830861,17.43119266,1.22324159,4.892966361,59.08548961,59.32721713,12637273429,10.12220912,6041.732051,7.875871132
2010,YR2010,Brazil,BRA,397931.1,2.026605669,18.65435997,13.25072889,68.86193222,25.84136237,4.906485305,5.346395703,14.71944661,45.25139665,2.20884E+12,7.528225818,11249.29189,6.522816179
2010,YR2010,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2010,YR2010,Brunei Darussalam,BRN,7170.8,18.10565758,75.21865889,89.37644315,23.19938776,6.268221574,0,1.457725948,0,17.20116618,13707280260,2.598965746,34609.71198,1.111479826
2010,YR2010,Bulgaria,BGR,44740.6,6.049624919,70.04504505,11.74911706,24.87182609,8.445945946,1.036036036,2.905405405,59.55502341,17.54504505,50760929303,1.555359513,6863.667068,2.226078677
2010,YR2010,Burkina Faso,BFA,2094.3,0.129944788,..,0,86.67454545,..,..,..,0,..,10109619741,8.446281577,627.2703957,5.305144555
2010,YR2010,Burundi,BDI,323.3,0.035423906,..,0,91.675,..,..,..,5.7296875,..,2032135192,5.124159994,222.6605832,0.318221818
2010,YR2010,Cabo Verde,CPV,540.7,1.037389776,..,0,103.2192593,..,..,..,0,..,1824751468,1.83641915,3500.977468,0.747349442
2010,YR2010,Cambodia,KHM,5140.8,0.357906398,17.53246753,0,95.17802846,3.896103896,4.978354978,6.493506494,1.043455285,67.31601732,11242275288,5.963078573,782.6957386,4.430149205
2010,YR2010,Cameroon,CMR,7014.4,0.352871883,32.47524752,6.607942158,63.2649277,7.128712871,0.198019802,7.128712871,0,52.87128713,27507501821,2.899024721,1383.813865,0.006582789
2010,YR2010,Canada,CAN,537091.5,15.79453766,39.87068556,33.68995851,46.89315982,11.65921841,2.658552819,14.02871541,16.25520793,31.7828278,1.61734E+12,3.089919462,47562.08343,1.950048334
2010,YR2010,Caribbean small states,CSS,38301.47,5.468179557,57.76557959,103.4267791,57.31524036,19.66419115,1.711333549,2.45398773,0.303921273,18.43719729,64940854448,1.265309732,9271.400098,0.684298654
2010,YR2010,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,4156841107,-2.715635262,76873.19428,-5.363905871
2010,YR2010,Central African Republic,CAF,174.8,0.03751019,..,0,97.78666667,..,..,..,0,..,2142591540,4.630818432,459.7769818,2.485984851
2010,YR2010,Central Europe and the Baltics,CEB,708417.9,6.78421838,53.82506169,18.36354356,24.57595329,11.33736452,2.415828439,14.40260921,55.12329242,18.01336354,1.31653E+12,1.435451328,12607.86047,1.803640788
2010,YR2010,Chad,TCD,1190,0.100044331,..,0,96.83728155,..,..,..,0,..,10668103554,13.55010086,896.8767046,9.744973037
2010,YR2010,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2010,YR2010,Chile,CHL,69749.1,4.101883998,40.03499052,14.67957114,62.38423264,20.00291588,1.297565243,7.420906838,23.7208405,31.24362152,2.17051E+11,5.851651017,12764.59312,4.788942687
2010,YR2010,China,CHN,8474922.7,6.335419767,51.56823947,2.358150915,12.90900609,33.44807676,2.037874414,5.401937187,77.61191904,7.543742418,6.08719E+12,10.63587107,4550.473944,10.10283262
2010,YR2010,Colombia,COL,64146.1,1.431317954,28.76598572,34.02236704,55.23744743,22.40491613,4.583956153,8.1714001,20.84656617,36.05713337,2.86499E+11,4.494658971,6392.758026,3.323734506
2010,YR2010,Comoros,COM,167.8,0.255783325,..,0,100.8425,..,..,..,0,..,907978731.7,3.77776675,1384.063284,1.637270424
2010,YR2010,"Congo, Dem. Rep.",COD,2653.9,0.039973637,3.20855615,2.136116505,83.84257282,7.486631016,0,1.604278075,0,88.23529412,21565721045,7.107976576,324.8277261,3.686160116
2010,YR2010,"Congo, Rep.",COG,5423.35,1.222057629,11.47540984,3.902630522,34.90277108,1.639344262,0,6.010928962,0,80.87431694,13148396212,9.931265431,2962.762481,5.45626725
2010,YR2010,Costa Rica,CRI,7105.5,1.537237693,9.228441755,0,94.27954993,15.58245083,2.571860817,3.78214826,3.249240506,68.98638427,37658614804,5.360343477,8147.243985,4.012638871
2010,YR2010,Cote d'Ivoire,CIV,6350.6,0.30069069,46.85990338,48.87368167,48.69681672,15.61996779,3.05958132,10.30595813,0,24.15458937,34936307965,6.848049399,1654.177959,4.610518087
2010,YR2010,Croatia,HRV,19457.3,4.529770847,33.05921053,30.9791778,53.04524666,15.78947368,3.947368421,15.24122807,13.26602261,31.90789474,58819429750,-1.243071346,13693.50003,-1.018815391
2010,YR2010,Cuba,CUB,28110,2.489722036,49.7246022,6.810489095,102.9692631,34.27172583,10.3121175,1.897184823,0.254484468,3.8249694,59562962963,2.390352297,5275.532601,2.324766851
2010,YR2010,Curacao,CUW,..,..,47.03196347,..,..,13.24200913,0,4.337899543,..,35.61643836,..,0.082306609,..,-1.176268627
2010,YR2010,Cyprus,CYP,7898.4,6.991677333,52.20385675,0,89.14280051,9.228650138,1.239669421,6.611570248,0.890959079,30.71625344,25732125694,2.014695707,31023.26758,-0.35676942
2010,YR2010,Czechia,CZE,114167.6,10.89966881,60.60660445,16.22196085,17.46113842,12.65254846,1.3011486,10.55276382,63.79672343,14.88693467,2.0907E+11,2.434902159,19960.06849,2.136880484
