Series Name,Series Code,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CO2 emissions (kt),EN.ATM.CO2E.KT,Afghanistan,AFG,1078.12,1088.638,1403.03,1653.207,1292.307,1961.711,2283.68,2847.81,4375.64,6558.97,8576.15,11961.89,10208.13,9402.05,9281.34,10057.59,9294.93,10022.78,10972.38,11238.83,8709.47,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Afghanistan,AFG,223.687,209.019,546.383,465.709,227.354,330.03,330.03,308.028,297.027,271.358,271.358,308.028,308.028,297.027,271.358,282.359,319.029,..,..,..,..,..,..
CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,Afghanistan,AFG,498.712,491.378,440.04,619.723,561.051,861.745,1136.77,1199.109,2812.589,4946.783,5870.867,7609.025,6761.948,4785.435,3773.343,4741.431,3476.316,..,..,..,..,..,..
CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CO2 intensity (kg per kg of oil equivalent energy use),EN.ATM.CO2E.EG.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,Afghanistan,AFG,3.667,69.673,55.005,91.675,91.675,106.343,161.348,748.068,1078.098,1536.473,2299.209,4305.058,3667,3942.025,4378.398,3975.028,4829.439,..,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Africa Eastern and Southern,AFE,357967.5107,395061.5236,406488.1623,428637.7792,459742.3344,460840.9102,467829.2222,488797.6487,522352.2523,504690.3711,532614.1402,525337.8893,546775.865,568547.519,591680.972,576265.992,580219.242,590905.482,598720.9575,610723.5,544952.503,..,..
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,Africa Eastern and Southern,AFE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,Africa Eastern and Southern,AFE,77461.5637,71616.66591,68790.52078,89536.57435,106408.2533,80954.42721,112586.5103,122853.9734,130569.3866,148944.8859,122216.8869,140584.9783,133288.116,139929.053,163665.544,161509.348,164886.655,..,..,..,..,..,..
CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,Africa Eastern and Southern,AFE,15.80827808,14.87264433,14.96575342,15.05277078,14.85380388,15.51263898,16.09331842,16.60233344,16.11483952,16.75462298,17.41466628,18.90793942,18.83036001,19.74547967,18.95010894,..,..,..,..,..,..,..,..
CO2 intensity (kg per kg of oil equivalent energy use),EN.ATM.CO2E.EG.ZS,Africa Eastern and Southern,AFE,1.493291746,1.605759735,1.643916665,1.671814133,1.706934396,1.687585961,1.686365336,1.693584315,1.710665673,1.638067352,1.706468713,1.646045789,1.685579433,1.707869047,1.750831612,..,..,..,..,..,..,..,..
