Time,Time Code,Country Name,Country Code,"Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)",CO2 emissions (kt),Forest area (% of land area),GDP (current US$),GDP growth (annual %),"Inflation, consumer prices (annual %)","Literacy rate, youth total (% of people ages 15-24)","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)"
2019,YR2019,Afghanistan,AFG,63.565,,11238.83,1.852781994,18799444415,3.911603419,2.302372515,,0.01618
2019,YR2019,Albania,ALB,79.282,,4993.3,28.7919708,15401826127,2.087711996,1.41109079,,5.10935
2019,YR2019,Algeria,DZA,76.474,,170582.4,0.81411035,1.72E+11,0.999999998,1.951768211,74.02999878,0.61271
2019,YR2019,American Samoa,ASM,,,,85.8,647000000,-0.487804878,,,
2019,YR2019,Andorra,AND,,,479.984,34.04255319,3155150256,2.015547638,,,11.05154
2019,YR2019,Angola,AGO,62.448,,24382.9,53.87217454,70897962713,-0.702272958,17.07970441,,6.17199
2019,YR2019,Antigua and Barbuda,ATG,78.691,,509,18.59090909,1725351852,3.10044515,1.431355982,,8.51359
2019,YR2019,Argentina,ARG,77.284,,168162,10.48017861,4.48E+11,-2.000861003,,,8.03999
2019,YR2019,Armenia,ARM,75.439,,6195.6,11.54478398,13619290539,7.599999999,1.443446608,,4.98389
2019,YR2019,Aruba,ABW,76.248,,,2.333333333,3395798883,-2.302836844,4.257462043,,
2019,YR2019,Australia,AUS,82.9,,395199.1,17.42131456,1.39E+12,2.181109106,1.610767873,,10.0908
2019,YR2019,Austria,AUT,81.89512195,,64497.8,47.20746486,4.45E+11,1.450529184,1.530895642,,11.97275
2019,YR2019,Azerbaijan,AZE,73.102,99.79598236,35521,13.55336705,48174235294,2.500000067,2.610571828,99.93392944,1.96779
2019,YR2019,"Bahamas, The",BHS,71.205,,2622.7,50.93506494,13058700000,-0.743661883,2.491235274,,4.39408
2019,YR2019,Bahrain,BHR,80.019,,32966.8,0.871794872,38653318085,2.166964669,1.005820047,,1.58154
2019,YR2019,Bangladesh,BGD,72.806,74.6844635,92645,14.46877161,3.51E+11,7.881906729,5.591996399,94.86242676,0.00516
