Series Name,Series Code,Time,Time Code,United Kingdom [GBR]
Life expectancy,SP.DYN.LE00.IN,1990,YR1990,75.8804878
Life expectancy,SP.DYN.LE00.IN,1991,YR1991,76.08292683
Life expectancy,SP.DYN.LE00.IN,1992,YR1992,76.43414634
Life expectancy,SP.DYN.LE00.IN,1993,YR1993,76.38536585
Life expectancy,SP.DYN.LE00.IN,1994,YR1994,76.88536585
Life expectancy,SP.DYN.LE00.IN,1995,YR1995,76.83658537
Life expectancy,SP.DYN.LE00.IN,1996,YR1996,77.08780488
Life expectancy,SP.DYN.LE00.IN,1997,YR1997,77.21097561
Life expectancy,SP.DYN.LE00.IN,1998,YR1998,77.1902439
Life expectancy,SP.DYN.LE00.IN,1999,YR1999,77.3902439
Life expectancy,SP.DYN.LE00.IN,2000,YR2000,77.74146341
Life expectancy,SP.DYN.LE00.IN,2001,YR2001,77.99268293
Life expectancy,SP.DYN.LE00.IN,2002,YR2002,78.14390244
Life expectancy,SP.DYN.LE00.IN,2003,YR2003,78.44634146
Life expectancy,SP.DYN.LE00.IN,2004,YR2004,78.74634146
Life expectancy,SP.DYN.LE00.IN,2005,YR2005,79.04878049
Life expectancy,SP.DYN.LE00.IN,2006,YR2006,79.24878049
Life expectancy,SP.DYN.LE00.IN,2007,YR2007,79.44878049
Life expectancy,SP.DYN.LE00.IN,2008,YR2008,79.6
Life expectancy,SP.DYN.LE00.IN,2009,YR2009,80.05121951
Life expectancy,SP.DYN.LE00.IN,2010,YR2010,80.40243902
Life expectancy,SP.DYN.LE00.IN,2011,YR2011,80.95121951
Life expectancy,SP.DYN.LE00.IN,2012,YR2012,80.90487805
Life expectancy,SP.DYN.LE00.IN,2013,YR2013,81.00487805
Life expectancy,SP.DYN.LE00.IN,2014,YR2014,81.30487805
Life expectancy,SP.DYN.LE00.IN,2015,YR2015,80.95609756
Life expectancy,SP.DYN.LE00.IN,2016,YR2016,81.15609756
Life expectancy,SP.DYN.LE00.IN,2017,YR2017,81.25609756
Life expectancy,SP.DYN.LE00.IN,2018,YR2018,81.25609756
Life expectancy,SP.DYN.LE00.IN,2019,YR2019,81.40487805
Life expectancy,SP.DYN.LE00.IN,2020,YR2020,80.35121951
Life expectancy,SP.DYN.LE00.IN,2021,YR2021,80.7
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 12/18/2023,,,,
