Year,China,Germany,Japan,United States
1970,232061740949.37,1398222026990.26,1460288731502,5183548220000
1971,248445299868.173,1442024124768.01,1528907582792.38,5354260691000
1972,257911065788.814,1504036084254.58,1657542944752.72,5635836299000
1973,277924964498.267,1575891211033.41,1790686738912.97,5954019981000
1974,284345031179.542,1589917726088.48,1768746531802.44,5921835427000
1975,309139917899.75,1576137290770.25,1823428673598.34,5909668657000
1976,304286421180.22,1654144397661.27,1895909673287.69,6228089836000
1977,327320903261.042,1709512218671.03,1979146515172.82,6516086243000
1978,364393196721.71,1760942771654.82,2083485961714.12,6876771488000
1979,392055467396.687,1834028294899.71,2197745203430.88,7094500066000.01
1980,422769661255.457,1859866610705.49,2259668679047.66,7076284960000.01
1981,444384863998.942,1869709779106.82,2354785736745.79,7255861209000.01
1982,484455553401.51,1862327402528.56,2432786995532.8,7125046201000.01
1983,536632397557.184,1891610827995.7,2518495175778.58,7451652146000
1984,618155123011.759,1945010014437.94,2631877698033.97,7990900876000.01
1985,701177544159.34,1990288588418.6,2769613884027.35,8324093971000
1986,763932666262.02,2035813239917.97,2861745799353.04,8612327876000
1987,852987565219.692,2064358428392.72,2997125430891.22,8910249999000
1988,948714904915.565,2140889060189.9,3200480994083.23,9282436602000
1989,988621025896.57,2224309909091.67,3355961566921.5,9623347839000
1990,1027377455186.3,2341197530114.32,3520159136984.85,9804840807000
1991,1122541231136.09,2460792022696.87,3640460461504.69,9794225617000
1992,1282217440754.72,2508114937252.42,3671334099297.89,10139221389000
1993,1460237039293.46,2483614421048.62,3652319531333.93,10418230561000
1994,1650605318474.51,2543019797447.8,3688589488080.59,10837959532000
1995,1831411871441.19,2582287748531.6,3785636263364.36,11128873914000
1996,2013134753753.51,2603096414333.41,3904273220115.03,11548717972000
1997,2199083579879.57,2649748088402.55,3942583070731.74,12054756829000
1998,2371622617326.37,2703112233879.92,3892499235707.73,12594979613000
1999,2553328077173.83,2754127021018.8,3879501014654.61,13193648716000
2000,2770108015881.17,2834341052129.13,3986755544464.22,13738214458000
2001,3001016837141.71,2881999603563.9,4002148544213.45,13875368657000
2002,3275118634989.96,2876293998430.63,4003827945768.8,14117035294000
2003,3603876041862.7,2856156584205.91,4065291729511.6,14520953428000
2004,3968358419670.81,2889718941247.11,4154163710034.48,15072588639000
2005,4420536663139.3,2910863221746.79,4229100705435.47,15602120903000
2006,4982871172219.99,3021954625771.29,4287138774363.71,16047557132000
2007,5691976639213.17,3111901749296.1,4350758602409.6,16348636818000
2008,6241291028839.82,3141772244844.63,4297492743392.06,16326307882000
2009,6827892848558.81,2962884875160.65,4052826324007.5,15912149113000
2010,7554098728366.12,3086729981515.2,4218907820177.17,16320099471000
2011,8275578020537.94,3207890081561.39,4219912322037.65,16573197368000
2012,8926347665676.43,3221315024377.87,4277925608850.6,16946019042000
2013,9619581223621.04,3235411218771.44,4363702302795.86,17258178451000
2014,10333908590028.1,3306899034832.93,4376627829637.51,17694115456000
2015,11061553079871.5,3356235704119.75,4444930651964.18,18238300569000
2016,11819132546495.4,3431079755885.36,4478437728055.55,18550435728000
2017,12640231416523.5,3523040623050.77,4553466417292.21,18983157920000
2018,13493418449040.5,3561301707859.6,4578913522439.24,19551981480000
2019,14296238286985.1,3598891541091.34,4591290538384.75,19974534312000
2020,14631844421164.2,3434435991589.48,4380756530555.84,19294483000000
