Year,East Asia & Pacific,Europe & Central Asia,Latin America & Caribbean,Middle East & North Africa,North America,South Asia,Sub-Saharan Africa
1960,154611689864.714,,,,583846188346.724,47170699606.9232,29267715826.1047
1961,155148067728.833,,89564090129.032,,604324202050.644,50331770780.8139,30410733043.6656
1962,158364167379.201,,98132677715.8005,,647421597617.883,53721519494.2269,32948375263.7359
1963,176703755825.377,,100055413984.542,,683726355213.516,60426255394.5899,37748216583.6245
1964,202683913715.287,,110926896678.915,,735285089547.337,69179494304.1267,36866803373.7592
1965,225588311251.139,,119245339327.014,,798329518629.68,74296512694.087,41061560163.9776
1966,252070316893.776,736309210869.7,131287210582.767,,876222557410.438,62475116958.2953,44304731189.6483
1967,273143444773.195,792958788990.844,133957623486.635,,927523758485.753,68733357253.0768,43799651901.9686
1968,301161372620.44,829485007219.954,143782380187.664,44425424089.7125,1014479810519.9,72039818016.7149,46833297633.5586
1969,346811617422.159,917464854579.585,160652964275.746,49164893255.2405,1099213311661.69,79195490145.2862,53552935963.3308
1970,408839646758.664,1014876114230.84,175224507139.316,55582823710.5233,1161385395320.13,85737283039.6522,63016042902.529
1971,453663314135.589,1144549716827.7,195449881829.744,65781993990.6258,1264333061774.61,91195879601.4183,64092010575.3525
1972,562932105713.435,1371424012169.74,219827913655.865,79687086013.7955,1392428220486.92,91680529302.1744,72415269921.8537
1973,741790532698.383,1741910567597.48,292393309317.522,107907687261.709,1556967358814.12,104812500642.22,92648034304.1773
1974,854593205437.261,1968282114939.78,379048165315.717,201523288248.223,1705964297341.51,126972253469.314,120813079654.974
1975,935707011210.152,2299379196192,397541581665.912,222828199360.451,1859083029689.34,135907831613.683,133397033330.63
1976,1028731493697.57,2390192040692.18,436004315855.897,281690014359.639,2080373864908.72,132647805505.075,144561455196.957
1977,1225841554500.99,2708799525635.46,478835476756.344,327513058376.548,2293885157028.68,153599832378.001,159083792632.482
1978,1546600931250.77,3306074575830.58,542905024591.319,349638130768.409,2570707667537.48,174773663985.822,176067891969.336
1979,1679780956038.64,4044371554185.17,644226542790.062,458974955046.071,2870922302612.26,195751155053.95,211703166377.826
1980,1815777516203.94,4580889964218.55,782809198814.434,594416883179.89,3131774126516.07,236032168287.023,266790137245.779
1981,2001691421990.54,4077076602948.79,894372414082.528,615463717667.995,3513994963656.99,250213642682.993,371843705966.513
1982,1962147974514.29,3928957717450.43,829144835859.812,614555917353.83,3658081025119.14,258869159759.911,342233798211.227
1983,2087707953522.31,3811512415767,726346366249.965,622070642482.35,3975475111781.89,274032732754.837,298134581972.596
1984,2235771025121.97,3663384722716.07,726511107731.958,634349949212.34,4393971258071.62,272757831561.659,260490953526.307
1985,2359175049682.89,3791076638293,757639421051.715,650889057869.577,4704774999482.75,296599020652.925,247171228303.387
1986,3082126024529.22,5174508215163.09,763687800580.219,668547476659.499,4958242427343.98,314128066863.644,254709696543.014
1987,3618985808121.69,6394083576116.96,807485159614.976,615589157377.24,5287828242049.45,348793876693.899,290001360181.039
1988,4354130148209.55,7117409188488.36,900781775254.866,583498501058.092,5745207451214.25,374789764145.447,297787207900.527
1989,4535313537910.39,7212323231561.99,928627062219.972,605930556171.62,6208137243275.24,378225266722.401,296186614194.103
1990,4737213308555.52,8823564877299.14,1107710184716.12,800911182301.429,6558665950908.47,407187370820.237,333961210836.517
1991,5348198198121.56,9116394556571.73,1189322538003.51,560573035816.546,6770092083643.19,362262532165.61,337724679867.204
1992,5843750214048.09,9798332715913.17,1298588795308.74,612529655573.133,7114394589252.92,384733617428.083,338031362451.592
1993,6535376655975.24,9003756543767.74,1506891388934.14,621840913800.168,7437550121856.44,381100277389.041,331796315105.264
1994,7402573595398.84,9416068639460.15,1769013904328,655962738349.151,7867242439537.61,432324272247.723,323972651840.297
1995,8405617990769.65,10871449753001.1,1921483902218.85,739588171284.806,8245811373433.4,479849581301.107,376445522593.602
1996,8099458906470.87,11096327908537.2,2079134079244.1,836065935091.983,8704363777972.13,524970419712.2,392929142700.186
1997,7743007591378.92,10521033613508,2279341246887.19,879599564823.738,9235474283855.56,550712123644.937,407885197057.776
1998,6928329072109.03,10794713977278.6,2299992549284.05,860090776101.313,9699948950000,558424594165.819,394739334798.812
1999,7738788543320.39,10672428351460.4,2075437076988.72,933774267097.144,10312400831271.1,598323918709.828,398622414258.544
2000,8373287271723.12,10046655321168.5,2291889370138.06,1046434254191.58,11000599098931.6,630429061929.228,423087770312.556
2001,7787149556000.59,10157339692049.7,2242579744921.52,1041162611078.13,11324483674355.4,645870123668.464,405983279511.081
2002,7909721655131.03,11099688958575.4,2013414038665.26,1035735994858.66,11701005616098,677627487567.085,441297738911.322
