category,rank,show_title,season_title,hours_viewed_first_28_days
Films (English),1,Red Notice,,364020000
Films (English),2,Don't Look Up,,359790000
Films (English),3,Bird Box,,282020000
Films (English),4,The Gray Man,,253830000
Films (English),5,The Adam Project,,233160000
Films (English),6,Extraction,,231340000
Films (English),7,Purple Hearts,,220610000
Films (English),8,The Unforgivable,,214700000
Films (English),9,The Irishman,,214570000
Films (English),10,The Kissing Booth 2,,209250000
Films (Non-English),1,Blood Red Sky,,110520000
Films (Non-English),2,The Platform,,108090000
Films (Non-English),3,Black Crab,,94130000
Films (Non-English),4,Through My Window,,92440000
Films (Non-English),5,The Takedown,,78630000
Films (Non-English),6,Below Zero,,78300000
Films (Non-English),7,Rogue City,,66600000
Films (Non-English),8,Carter,,61150000
Films (Non-English),9,The Forgotten Battle,,60940000
Films (Non-English),10,Restless,,59060000
TV (English),1,Stranger Things,Stranger Things 4,1352090000
TV (English),2,Bridgerton,Bridgerton: Season 2,656260000
TV (English),3,Bridgerton,Bridgerton: Season 1,625490000
TV (English),4,Stranger Things,Stranger Things 3,582100000
TV (English),5,Lucifer,Lucifer: Season 5,569480000
TV (English),6,The Witcher,The Witcher: Season 1,541010000
TV (English),7,Inventing Anna,Inventing Anna: Limited Series,511920000
TV (English),8,13 Reasons Why,13 Reasons Why: Season 2,496120000
TV (English),9,Ozark,Ozark: Season 4,491090000
TV (English),10,The Witcher,The Witcher: Season 2,484340000
TV (Non-English),1,Squid Game,Squid Game: Season 1,1650450000
TV (Non-English),2,Money Heist,Money Heist: Part 5,792230000
TV (Non-English),3,Money Heist,Money Heist: Part 4,619010000
TV (Non-English),4,All of Us Are Dead,All of Us Are Dead: Season 1,560780000
TV (Non-English),5,Money Heist,Money Heist: Part 3,426400000
TV (Non-English),6,Extraordinary Attorney Woo,Extraordinary Attorney Woo: Season 1,341460000
TV (Non-English),7,Café con aroma de mujer,Café con aroma de mujer: Season 1,326910000
TV (Non-English),8,Lupin,Lupin: Part 1,316830000
TV (Non-English),9,Elite,Elite: Season 3,275300000
TV (Non-English),10,Who Killed Sara?,Who Killed Sara?: Season 1,266430000
