Date,Open,High,Low,Close
03/30/22,7537.25,7578.75,7523.82,7578.75
03/29/22,7473.14,7584.11,7473.14,7537.25
03/28/22,7483.35,7539.3,7471.47,7473.14
03/25/22,7467.38,7502.67,7441.28,7483.35
03/24/22,7460.63,7492,7453.25,7467.38
03/23/22,7476.72,7521.14,7459.36,7460.63
03/22/22,7442.39,7490.46,7442.39,7476.72
03/21/22,7404.73,7464.95,7402.6,7442.39
03/18/22,7385.34,7406.13,7318.9,7404.73
03/17/22,7291.68,7385.34,7260.51,7385.34
03/16/22,7175.7,7312.23,7175.7,7291.68
03/15/22,7193.47,7193.47,7075.82,7175.7
03/14/22,7155.64,7222.87,7143.95,7193.47
03/11/22,7099.09,7260.4,7099.03,7155.64
03/10/22,7190.72,7192.75,7065.96,7099.09
03/09/22,6964.11,7190.72,6964.11,7190.72
03/08/22,6959.48,7013.51,6893.55,6964.11
03/07/22,6987.14,7030.74,6787.98,6959.48
03/04/22,7238.85,7238.85,6980.86,6987.14
03/03/22,7429.56,7468.83,7231.51,7238.85
03/02/22,7330.2,7462.22,7320.77,7429.56
03/01/22,7458.25,7499.33,7327.79,7330.2
02/28/22,7489.46,7489.46,7361.59,7458.25
02/25/22,7207.38,7497.94,7207.38,7489.46
02/24/22,7498.18,7498.18,7204.74,7207.38
02/23/22,7494.21,7549.98,7490.54,7498.18
02/22/22,7484.33,7531.32,7365.04,7494.21
02/21/22,7513.62,7571.07,7446.43,7484.33
02/18/22,7537.37,7570.56,7508.73,7513.62
02/17/22,7603.78,7607.24,7499.86,7537.37
02/16/22,7608.92,7630.72,7560.94,7603.78
02/15/22,7531.59,7608.92,7513.16,7608.92
02/14/22,7661.02,7661.02,7483.36,7531.59
02/11/22,7672.4,7672.4,7596.11,7661.02
02/10/22,7643.42,7687.27,7622.74,7672.4
02/09/22,7567.07,7657.93,7567.07,7643.42
02/08/22,7573.47,7631.31,7548.19,7567.07
02/07/22,7516.4,7591.65,7508.48,7573.47
02/04/22,7528.84,7599.73,7497.21,7516.4
02/03/22,7583,7605.75,7528.69,7528.84
02/02/22,7535.78,7605.64,7535.78,7583
02/01/22,7464.37,7549.29,7463.01,7535.78
01/31/22,7466.07,7523.95,7450.89,7464.37
01/28/22,7554.31,7554.31,7420.2,7466.07
01/27/22,7469.78,7596.7,7388.8,7554.31
01/26/22,7371.46,7525.58,7371.46,7469.78
01/25/22,7297.15,7382.6,7297.15,7371.46
01/24/22,7494.13,7494.13,7283.38,7297.15
01/21/22,7585.01,7585.01,7450.49,7494.13
01/20/22,7589.66,7619.01,7549.87,7585.01
01/19/22,7563.55,7614.93,7525.15,7589.66
01/18/22,7611.23,7613.05,7531.96,7563.55
01/17/22,7542.95,7616.06,7542.95,7611.23
01/14/22,7563.85,7568.16,7523.02,7542.95
01/13/22,7551.72,7566.46,7530.12,7563.85
01/12/22,7491.37,7564.2,7491.37,7551.72
01/11/22,7445.25,7497.12,7445.25,7491.37
01/10/22,7485.28,7496.12,7422.94,7445.25
01/07/22,7450.37,7485.28,7431.86,7485.28
01/06/22,7516.87,7516.87,7419.95,7450.37
01/05/22,7505.15,7529.97,7484.28,7516.87
01/04/22,7384.54,7520.79,7384.54,7505.15
12/31/21,7403.01,7403.01,7357.1,7384.54
12/30/21,7420.69,7433.39,7403.01,7403.01
12/29/21,7372.1,7457.14,7372.1,7420.69
12/28/21,7372.1,7372.1,7372.1,7372.1
12/27/21,7372.1,7372.1,7372.1,7372.1
12/24/21,7373.34,7403.65,7368.83,7372.1
12/23/21,7341.66,7385.42,7331.05,7373.34
