"Date","Price","Open","High","Low","Change %"
"Mar 27, 2022","1.1774","1.1990","1.2017","1.1772","-1.87%"
"Mar 20, 2022","1.1998","1.1922","1.2056","1.1880","0.63%"
"Mar 13, 2022","1.1923","1.1949","1.1964","1.1820","-0.18%"
"Mar 06, 2022","1.1945","1.2105","1.2194","1.1853","-1.30%"
"Feb 27, 2022","1.2102","1.1897","1.2153","1.1866","1.76%"
"Feb 20, 2022","1.1893","1.2012","1.2042","1.1891","-0.89%"
"Feb 13, 2022","1.2000","1.1948","1.2011","1.1900","0.47%"
"Feb 06, 2022","1.1944","1.1818","1.1964","1.1793","1.08%"
"Jan 30, 2022","1.1816","1.2023","1.2073","1.1804","-1.74%"
"Jan 23, 2022","1.2025","1.1952","1.2043","1.1870","0.64%"
"Jan 16, 2022","1.1948","1.1979","1.2043","1.1933","-0.23%"
"Jan 09, 2022","1.1975","1.1961","1.2015","1.1951","0.17%"
"Jan 02, 2022","1.1955","1.1901","1.1999","1.1875","0.49%"
"Dec 26, 2021","1.1897","1.1827","1.1952","1.1826","0.63%"
"Dec 19, 2021","1.1823","1.1784","1.1884","1.1694","0.41%"
"Dec 12, 2021","1.1775","1.1728","1.1832","1.1689","0.41%"
"Dec 05, 2021","1.1727","1.1688","1.1782","1.1626","0.31%"
"Nov 28, 2021","1.1691","1.1787","1.1842","1.1689","-0.76%"
"Nov 21, 2021","1.1780","1.1919","1.1934","1.1767","-1.13%"
"Nov 14, 2021","1.1915","1.1722","1.1932","1.1711","1.75%"
"Nov 07, 2021","1.1710","1.1668","1.1739","1.1641","0.39%"
"Oct 31, 2021","1.1664","1.1833","1.1846","1.1633","-1.47%"
"Oct 24, 2021","1.1838","1.1818","1.1903","1.1796","0.31%"
"Oct 17, 2021","1.1802","1.1853","1.1878","1.1806","-0.41%"
"Oct 10, 2021","1.1851","1.1767","1.1874","1.1739","0.75%"
"Oct 03, 2021","1.1763","1.1683","1.1801","1.1662","0.72%"
"Sep 26, 2021","1.1679","1.1677","1.1731","1.1548","0.09%"
"Sep 19, 2021","1.1668","1.1712","1.1726","1.1608","-0.41%"
"Sep 12, 2021","1.1716","1.1716","1.1766","1.1676","0.04%"
"Sep 05, 2021","1.1711","1.1667","1.1739","1.1608","0.38%"
"Aug 29, 2021","1.1667","1.1667","1.1681","1.1622","0.05%"
"Aug 22, 2021","1.1661","1.1658","1.1708","1.1635","0.15%"
"Aug 15, 2021","1.1644","1.1757","1.1789","1.1639","-0.93%"
"Aug 08, 2021","1.1753","1.1801","1.1836","1.1738","-0.33%"
"Aug 01, 2021","1.1792","1.1712","1.1809","1.1683","0.71%"
"Jul 25, 2021","1.1709","1.1682","1.1768","1.1662","0.33%"
"Jul 18, 2021","1.1671","1.1665","1.1710","1.1530","0.12%"
"Jul 11, 2021","1.1657","1.1710","1.1762","1.1653","-0.38%"
"Jul 04, 2021","1.1702","1.1653","1.1718","1.1602","0.46%"
"Jun 27, 2021","1.1648","1.1632","1.1678","1.1605","0.20%"
"Jun 20, 2021","1.1625","1.1643","1.1726","1.1619","-0.12%"
"Jun 13, 2021","1.1639","1.1655","1.1709","1.1588","-0.08%"
"Jun 06, 2021","1.1648","1.1629","1.1673","1.1568","0.15%"
"May 30, 2021","1.1631","1.1632","1.1677","1.1566","-0.03%"
"May 23, 2021","1.1634","1.1626","1.1664","1.1530","0.19%"
"May 16, 2021","1.1612","1.1607","1.1654","1.1568","0.04%"
"May 09, 2021","1.1607","1.1499","1.1683","1.1493","1.06%"
"May 02, 2021","1.1485","1.1494","1.1599","1.1474","-0.05%"
"Apr 25, 2021","1.1491","1.1466","1.1531","1.1466","0.23%"
"Apr 18, 2021","1.1465","1.1543","1.1645","1.1466","-0.62%"
