record_id,month,day,year,site_id,species_id,sex,hindfoot_length,weight
31711,1,21,2001,1,PB,F,26.0,25.0
31712,1,21,2001,1,DM,M,37.0,43.0
31713,1,21,2001,1,PB,M,29.0,44.0
31714,1,21,2001,1,DO,M,34.0,53.0
31715,1,21,2001,2,OT,M,20.0,27.0
31716,1,21,2001,2,RM,M,17.0,11.0
31717,1,21,2001,2,NL,M,33.0,121.0
31718,1,21,2001,2,DM,F,34.0,44.0
31719,1,21,2001,2,PB,M,26.0,42.0
31720,1,21,2001,2,PB,M,27.0,41.0
31721,1,21,2001,2,NL,F,31.0,158.0
31722,1,21,2001,12,DO,M,34.0,54.0
31723,1,21,2001,12,DM,F,37.0,49.0
31724,1,21,2001,12,OT,F,20.0,21.0
31725,1,21,2001,12,DM,M,36.0,43.0
31726,1,21,2001,19,PB,M,26.0,27.0
31727,1,21,2001,19,PB,M,26.0,42.0
31728,1,21,2001,19,PP,M,20.0,11.0
31729,1,21,2001,18,PB,F,26.0,29.0
31730,1,21,2001,17,OT,M,21.0,23.0
31731,1,21,2001,17,DM,M,37.0,49.0
31732,1,21,2001,17,DM,M,36.0,48.0
31733,1,21,2001,17,DM,F,37.0,43.0
31734,1,21,2001,17,DM,F,37.0,41.0
31735,1,21,2001,17,OT,F,20.0,26.0
31736,1,21,2001,17,DM,F,34.0,41.0
31737,1,21,2001,17,OT,M,20.0,20.0
31738,1,21,2001,22,PB,M,28.0,36.0
31739,1,21,2001,22,PB,M,27.0,40.0
31740,1,21,2001,22,PB,F,26.0,32.0
31741,1,21,2001,22,PB,F,26.0,25.0
31742,1,21,2001,21,PB,F,25.0,27.0
31743,1,21,2001,21,PB,F,27.0,30.0
31744,1,21,2001,21,PB,F,25.0,27.0
31745,1,21,2001,21,PB,F,27.0,29.0
31746,1,21,2001,20,PB,F,27.0,29.0
31747,1,21,2001,7,OT,M,20.0,26.0
31748,1,21,2001,7,DO,M,34.0,47.0
31751,1,22,2001,3,PB,M,25.0,40.0
31752,1,22,2001,3,PB,F,25.0,30.0
31753,1,22,2001,3,PB,M,26.0,40.0
31754,1,22,2001,3,OT,M,21.0,25.0
31755,1,22,2001,3,OT,F,21.0,25.0
31756,1,22,2001,3,PB,M,26.0,29.0
31757,1,22,2001,4,PB,M,27.0,36.0
31759,1,22,2001,4,OT,M,20.0,22.0
31760,1,22,2001,4,DM,M,36.0,48.0
31761,1,22,2001,6,OT,M,21.0,24.0
31762,1,22,2001,6,OT,F,20.0,26.0
31763,1,22,2001,6,PM,F,20.0,27.0
31764,1,22,2001,6,PB,F,26.0,29.0
31765,1,22,2001,6,PB,F,25.0,30.0
31766,1,22,2001,6,PB,M,27.0,35.0
31768,1,22,2001,11,DM,M,36.0,45.0
31769,1,22,2001,11,DM,M,37.0,54.0
31770,1,22,2001,11,DM,M,37.0,46.0
31771,1,22,2001,11,DM,F,34.0,41.0
31772,1,22,2001,9,DM,M,35.0,42.0
31773,1,22,2001,9,DM,F,37.0,44.0
31774,1,22,2001,9,DM,M,36.0,48.0
31775,1,22,2001,9,DM,M,36.0,49.0
31777,1,22,2001,13,PB,F,26.0,31.0
31778,1,22,2001,13,PB,F,25.0,36.0
31779,1,22,2001,13,PP,M,21.0,12.0
31780,1,22,2001,14,DM,F,36.0,36.0
31781,1,22,2001,14,DM,F,36.0,41.0
31782,1,22,2001,14,DM,M,37.0,47.0
31783,1,22,2001,14,DM,F,36.0,42.0
31784,1,22,2001,14,DM,F,36.0,40.0
31785,1,22,2001,14,DM,M,36.0,50.0
31786,1,22,2001,15,OT,M,21.0,22.0
31790,3,3,2001,1,PB,M,27.0,36.0
31791,3,3,2001,1,PB,F,24.0,25.0
31792,3,3,2001,2,DM,F,35.0,45.0
31793,3,3,2001,2,PB,M,26.0,41.0
31794,3,3,2001,12,OT,M,21.0,24.0
31795,3,3,2001,19,PB,M,28.0,40.0
31796,3,3,2001,19,RM,F,17.0,16.0
31797,3,3,2001,19,PB,M,27.0,27.0
31798,3,3,2001,18,RM,F,17.0,17.0
31799,3,3,2001,18,PB,M,26.0,40.0
31800,3,3,2001,18,PB,F,27.0,33.0
31802,3,3,2001,17,DM,F,38.0,58.0
31803,3,3,2001,17,RM,M,16.0,8.0
31804,3,3,2001,17,OT,M,21.0,27.0
31805,3,3,2001,17,DM,F,37.0,41.0
31806,3,3,2001,17,DM,F,36.0,40.0
31807,3,3,2001,17,OT,F,20.0,25.0
31808,3,3,2001,22,PB,M,26.0,31.0
31810,3,3,2001,22,PB,M,27.0,43.0
31811,3,3,2001,22,PB,F,26.0,27.0
31812,3,3,2001,22,PB,M,26.0,35.0
31813,3,3,2001,22,PB,M,37.0,41.0
31814,3,3,2001,21,PB,F,26.0,35.0
31816,3,3,2001,20,PB,F,26.0,30.0
31817,3,3,2001,20,NL,M,30.0,109.0
31818,3,3,2001,20,RM,M,17.0,11.0
31822,3,4,2001,4,DM,F,37.0,45.0
31823,3,4,2001,4,PB,M,26.0,39.0
31824,3,4,2001,4,DM,M,37.0,50.0
31826,3,4,2001,6,PB,F,26.0,33.0
31827,3,4,2001,6,PB,M,26.0,40.0
31828,3,4,2001,11,DM,M,36.0,39.0
31829,3,4,2001,11,DM,M,37.0,55.0
31830,3,4,2001,11,PP,M,22.0,14.0
31831,3,4,2001,11,PB,F,26.0,29.0
31832,3,4,2001,9,DM,F,36.0,58.0
31833,3,4,2001,9,DM,M,36.0,50.0
31834,3,4,2001,9,DM,M,37.0,51.0
31835,3,4,2001,9,PP,M,23.0,14.0
31836,3,4,2001,9,DM,M,37.0,50.0
31837,3,4,2001,9,DM,M,38.0,54.0
31838,3,4,2001,9,DM,F,36.0,45.0
31840,3,4,2001,8,DM,M,37.0,52.0
31842,3,4,2001,13,PB,F,25.0,44.0
31843,3,4,2001,13,PB,F,26.0,39.0
31844,3,4,2001,14,DM,M,37.0,53.0
31845,3,4,2001,14,DM,M,38.0,49.0
31846,3,4,2001,14,DM,F,35.0,44.0
31847,3,4,2001,14,DM,F,35.0,44.0
31848,3,4,2001,15,PP,M,22.0,14.0
31849,3,4,2001,15,OT,F,20.0,24.0
31854,3,24,2001,1,PB,F,26.0,29.0
31855,3,24,2001,1,DM,F,35.0,47.0
31856,3,24,2001,1,PP,F,22.0,16.0
31857,3,24,2001,2,PB,M,26.0,40.0
31858,3,24,2001,2,DM,M,37.0,53.0
31859,3,24,2001,2,DM,F,36.0,60.0
31860,3,24,2001,2,DM,M,37.0,47.0
31861,3,24,2001,2,DM,M,37.0,48.0
31862,3,24,2001,2,NL,F,32.0,252.0
31863,3,24,2001,12,PP,M,22.0,20.0
31864,3,24,2001,12,OT,M,20.0,24.0
31865,3,24,2001,12,DM,F,37.0,58.0
31867,3,24,2001,12,NL,F,32.0,207.0
31869,3,24,2001,19,PB,M,26.0,46.0
31870,3,24,2001,18,RM,F,17.0,15.0
31871,3,24,2001,17,DM,F,37.0,55.0
31872,3,24,2001,17,OT,F,22.0,26.0
31874,3,24,2001,17,DM,F,37.0,48.0
31875,3,24,2001,17,DM,M,38.0,48.0
31876,3,24,2001,17,PP,M,16.0,13.0
31877,3,24,2001,17,DM,M,38.0,45.0
31878,3,24,2001,17,DM,F,38.0,56.0
31879,3,24,2001,17,DM,F,35.0,45.0
31881,3,24,2001,22,PB,F,27.0,40.0
31882,3,24,2001,21,PB,M,27.0,34.0
31883,3,24,2001,21,PB,F,25.0,36.0
31884,3,24,2001,21,PB,F,28.0,48.0
31885,3,24,2001,21,PB,F,26.0,37.0
31886,3,24,2001,20,PP,M,22.0,21.0
31888,3,25,2001,3,PB,M,26.0,34.0
31889,3,25,2001,3,PB,F,27.0,36.0
31890,3,25,2001,3,PB,M,27.0,44.0
31891,3,25,2001,4,PF,M,17.0,8.0
31892,3,25,2001,4,OT,F,21.0,29.0
31893,3,25,2001,4,PB,M,27.0,49.0
31894,3,25,2001,4,DM,M,38.0,51.0
31895,3,25,2001,4,PB,M,26.0,42.0
31896,3,25,2001,4,OT,F,21.0,30.0
31897,3,25,2001,11,PB,M,27.0,37.0
31898,3,25,2001,11,DM,F,36.0,51.0
31899,3,25,2001,11,DM,M,37.0,53.0
31900,3,25,2001,9,OT,M,21.0,29.0
31902,3,25,2001,9,DM,F,37.0,47.0
31903,3,25,2001,9,DM,M,37.0,51.0
31904,3,25,2001,9,DM,M,36.0,52.0
31905,3,25,2001,9,DM,M,36.0,51.0
31906,3,25,2001,8,OT,F,22.0,32.0
31907,3,25,2001,8,PP,M,22.0,15.0
31908,3,25,2001,8,PP,M,22.0,21.0
31909,3,25,2001,8,PP,M,22.0,21.0
31910,3,25,2001,8,PP,M,20.0,16.0
31911,3,25,2001,8,PM,F,20.0,22.0
31912,3,25,2001,8,PP,F,22.0,16.0
31913,3,25,2001,8,PP,M,22.0,20.0
31914,3,25,2001,13,PB,F,25.0,39.0
31915,3,25,2001,13,PB,M,26.0,44.0
31916,3,25,2001,13,PP,M,22.0,13.0
31917,3,25,2001,13,PP,M,21.0,16.0
31918,3,25,2001,14,DM,M,38.0,50.0
31919,3,25,2001,14,DM,M,36.0,48.0
31921,3,25,2001,14,PP,M,22.0,21.0
31922,3,25,2001,14,DM,F,35.0,54.0
31923,3,25,2001,14,PP,M,23.0,22.0
31924,3,25,2001,14,DM,M,35.0,54.0
31925,3,25,2001,14,PP,M,22.0,20.0
31926,3,25,2001,14,PP,F,23.0,16.0
31927,3,25,2001,14,DM,F,35.0,59.0
31928,3,25,2001,15,PP,M,23.0,19.0
31929,3,25,2001,15,PP,F,22.0,13.0
31930,3,25,2001,15,OT,F,20.0,42.0
31936,4,21,2001,1,PP,F,22.0,26.0
31937,4,21,2001,1,PB,F,25.0,30.0
31938,4,21,2001,1,PP,M,21.0,19.0
31939,4,21,2001,1,DM,M,36.0,49.0
31941,4,21,2001,1,PB,M,25.0,24.0
31942,4,21,2001,1,PP,M,22.0,22.0
31943,4,21,2001,1,DO,F,37.0,68.0
31944,4,21,2001,2,PP,F,22.0,21.0
31945,4,21,2001,2,DM,F,35.0,47.0
31946,4,21,2001,2,NL,F,33.0,145.0
31947,4,21,2001,2,PP,M,22.0,24.0
31948,4,21,2001,2,DM,M,37.0,52.0
31949,4,21,2001,12,PP,M,22.0,21.0
31950,4,21,2001,12,DO,M,34.0,54.0
31951,4,21,2001,12,PP,F,22.0,24.0
31952,4,21,2001,12,DO,F,34.0,60.0
31953,4,21,2001,12,PP,F,21.0,23.0
31954,4,21,2001,12,DM,F,37.0,57.0
31956,4,21,2001,24,DO,F,36.0,76.0
31957,4,21,2001,24,PP,F,21.0,16.0
31958,4,21,2001,24,PE,F,20.0,22.0
31959,4,21,2001,19,PB,M,27.0,50.0
31960,4,21,2001,18,PB,M,27.0,50.0
31961,4,21,2001,18,PB,F,25.0,17.0
31962,4,21,2001,17,DM,F,37.0,50.0
31963,4,21,2001,17,PP,M,22.0,18.0
31964,4,21,2001,17,PP,F,22.0,20.0
31965,4,21,2001,17,DM,M,36.0,49.0
31966,4,21,2001,17,DM,M,36.0,49.0
31968,4,21,2001,17,DM,M,36.0,37.0
31969,4,21,2001,17,OT,M,21.0,28.0
31970,4,21,2001,17,DM,F,36.0,50.0
31971,4,21,2001,17,DM,M,35.0,50.0
31972,4,21,2001,17,DM,M,37.0,50.0
31973,4,21,2001,20,PB,M,26.0,39.0
31974,4,21,2001,20,PB,F,25.0,37.0
31976,4,21,2001,20,PB,M,26.0,38.0
31977,4,21,2001,20,NL,F,33.0,218.0
31978,4,21,2001,21,PB,M,27.0,35.0
31979,4,21,2001,21,PB,F,25.0,54.0
31980,4,21,2001,21,PB,M,26.0,34.0
31981,4,21,2001,21,PB,M,26.0,37.0
31982,4,21,2001,21,PB,F,27.0,37.0
31983,4,21,2001,21,PB,F,27.0,35.0
31984,4,21,2001,22,PF,F,15.0,7.0
31985,4,21,2001,22,PB,F,26.0,33.0
31986,4,21,2001,22,PB,F,27.0,35.0
31987,4,21,2001,22,DM,M,37.0,53.0
31988,4,21,2001,7,OT,F,21.0,27.0
31991,4,22,2001,3,PB,F,27.0,40.0
31992,4,22,2001,3,PB,M,24.0,34.0
31993,4,22,2001,4,OT,F,20.0,32.0
31994,4,22,2001,4,DM,M,37.0,53.0
31995,4,22,2001,4,DM,F,36.0,55.0
31996,4,22,2001,6,PB,M,25.0,39.0
31997,4,22,2001,6,PP,M,21.0,23.0
31998,4,22,2001,6,PB,M,26.0,46.0
31999,4,22,2001,6,PP,F,21.0,20.0
32000,4,22,2001,6,PP,M,22.0,22.0
32001,4,22,2001,6,PB,F,26.0,49.0
32002,4,22,2001,6,SH,F,29.0,132.0
32003,4,22,2001,11,DM,F,35.0,49.0
32004,4,22,2001,11,OT,F,20.0,26.0
32005,4,22,2001,11,DM,F,36.0,49.0
32006,4,22,2001,11,OT,F,20.0,14.0
32007,4,22,2001,9,PP,M,22.0,18.0
32010,4,22,2001,9,PP,M,22.0,17.0
32011,4,22,2001,9,DM,M,37.0,52.0
32012,4,22,2001,9,PP,M,23.0,21.0
32013,4,22,2001,9,DM,F,37.0,47.0
32014,4,22,2001,9,DM,F,37.0,53.0
32015,4,22,2001,8,DO,M,34.0,59.0
32016,4,22,2001,8,DO,F,36.0,59.0
32017,4,22,2001,8,PP,F,22.0,19.0
32018,4,22,2001,14,DM,M,36.0,53.0
32019,4,22,2001,14,DM,M,37.0,49.0
32020,4,22,2001,14,PF,F,15.0,7.0
32021,4,22,2001,14,DM,M,36.0,56.0
32022,4,22,2001,14,DM,F,34.0,46.0
32023,4,22,2001,14,DO,F,35.0,52.0
32024,4,22,2001,14,PM,F,20.0,31.0
32025,4,22,2001,14,DM,F,35.0,55.0
32026,4,22,2001,15,OT,M,21.0,29.0
32027,4,22,2001,15,PP,M,22.0,20.0
32028,4,22,2001,15,PP,M,21.0,18.0
32029,4,22,2001,15,PF,F,16.0,9.0
32030,4,22,2001,15,PP,M,22.0,23.0
32031,4,22,2001,15,PP,M,22.0,22.0
32032,4,22,2001,16,PP,F,21.0,21.0
32035,5,26,2001,1,PP,F,22.0,21.0
32036,5,26,2001,1,PP,F,23.0,29.0
32037,5,26,2001,1,NL,M,31.0,94.0
32038,5,26,2001,1,DO,M,34.0,55.0
32039,5,26,2001,1,PB,M,27.0,31.0
32040,5,26,2001,1,DM,M,36.0,48.0
32041,5,26,2001,1,PP,M,21.0,20.0
32042,5,26,2001,1,DO,F,37.0,68.0
32044,5,26,2001,2,SH,M,30.0,79.0
32045,5,26,2001,2,NL,M,32.0,135.0
32046,5,26,2001,12,PP,M,22.0,17.0
32047,5,26,2001,12,DO,M,34.0,49.0
32048,5,26,2001,12,DO,F,34.0,27.0
32049,5,26,2001,12,DM,M,36.0,48.0
32050,5,26,2001,12,PE,M,21.0,20.0
32051,5,26,2001,12,NL,F,30.0,204.0
32052,5,26,2001,19,PB,F,26.0,27.0
32053,5,26,2001,19,PB,M,27.0,36.0
32054,5,26,2001,22,PB,M,27.0,30.0
32055,5,26,2001,22,PB,F,26.0,33.0
32057,5,26,2001,22,PB,M,27.0,40.0
32058,5,26,2001,22,PB,F,27.0,31.0
32060,5,26,2001,18,PE,M,20.0,23.0
32061,5,26,2001,18,PB,F,27.0,31.0
32062,5,26,2001,17,PB,M,27.0,29.0
32063,5,26,2001,17,DM,M,36.0,52.0
32064,5,26,2001,17,DM,M,36.0,48.0
32066,5,26,2001,17,DM,M,37.0,46.0
32067,5,26,2001,17,DM,F,36.0,41.0
32068,5,26,2001,17,DM,M,35.0,47.0
32069,5,26,2001,17,PP,F,22.0,19.0
32070,5,26,2001,17,DM,F,37.0,47.0
32071,5,26,2001,17,DM,M,37.0,49.0
32072,5,26,2001,17,NL,M,32.0,127.0
32073,5,26,2001,21,PB,F,26.0,44.0
32074,5,26,2001,21,PB,M,28.0,31.0
32075,5,26,2001,21,PB,F,26.0,39.0
32076,5,26,2001,20,PB,F,27.0,35.0
32077,5,26,2001,20,NL,M,31.0,115.0
32078,5,26,2001,20,PB,M,26.0,25.0
32079,5,26,2001,20,PB,F,27.0,32.0
32080,5,26,2001,20,NL,F,32.0,205.0
32082,5,26,2001,20,NL,F,33.0,200.0
32083,5,26,2001,24,NL,F,29.0,146.0
32084,5,26,2001,24,DO,M,27.0,51.0
32085,5,26,2001,7,PB,F,22.0,37.0
32088,5,27,2001,3,OT,F,21.0,25.0
32089,5,27,2001,3,OT,F,21.0,35.0
32090,5,27,2001,3,PB,M,28.0,30.0
32092,5,27,2001,4,PF,M,16.0,8.0
32093,5,27,2001,4,DM,F,37.0,51.0
32094,5,27,2001,4,DM,M,37.0,52.0
32095,5,27,2001,4,DM,F,36.0,36.0
32096,5,27,2001,4,DM,F,35.0,49.0
32097,5,27,2001,4,PB,M,26.0,39.0
32098,5,27,2001,4,PP,M,22.0,18.0
32099,5,27,2001,6,SH,F,30.0,86.0
32100,5,27,2001,6,PB,F,26.0,33.0
32101,5,27,2001,6,SH,F,29.0,123.0
32102,5,27,2001,6,PB,M,26.0,18.0
32103,5,27,2001,6,PB,M,26.0,40.0
32104,5,27,2001,6,OT,F,20.0,34.0
32105,5,27,2001,6,PB,F,26.0,44.0
32106,5,27,2001,6,OT,F,20.0,14.0
32107,5,27,2001,11,DM,M,37.0,55.0
32109,5,27,2001,11,DM,F,34.0,48.0
32110,5,27,2001,11,PP,M,23.0,13.0
32111,5,27,2001,11,DM,M,38.0,50.0
32112,5,27,2001,11,DM,F,36.0,48.0
32113,5,27,2001,9,PP,M,21.0,16.0
32114,5,27,2001,9,DM,F,36.0,52.0
32115,5,27,2001,9,PP,F,23.0,18.0
32116,5,27,2001,9,DM,M,36.0,50.0
32117,5,27,2001,9,DM,M,36.0,50.0
32118,5,27,2001,9,DM,F,35.0,40.0
32119,5,27,2001,9,DM,M,35.0,49.0
32120,5,27,2001,8,PB,F,25.0,34.0
32121,5,27,2001,8,PB,M,27.0,40.0
32122,5,27,2001,8,PP,F,23.0,20.0
32123,5,27,2001,8,DO,F,36.0,59.0
32124,5,27,2001,8,PB,M,27.0,34.0
32125,5,27,2001,8,OT,F,21.0,32.0
32126,5,27,2001,8,OT,M,20.0,31.0
32127,5,27,2001,8,PP,M,22.0,17.0
32128,5,27,2001,8,PP,F,21.0,21.0
32129,5,27,2001,13,PB,M,27.0,26.0
32130,5,27,2001,13,PB,M,27.0,29.0
32131,5,27,2001,14,DM,M,35.0,25.0
32132,5,27,2001,14,DO,M,35.0,56.0
32134,5,27,2001,14,DM,F,36.0,58.0
32135,5,27,2001,14,DM,F,35.0,47.0
32136,5,27,2001,14,DM,F,35.0,50.0
32137,5,27,2001,14,PP,M,21.0,19.0
32138,5,27,2001,14,DM,F,36.0,36.0
32139,5,27,2001,14,DM,M,35.0,55.0
32140,5,27,2001,14,DM,M,37.0,46.0
32141,5,27,2001,14,DM,F,34.0,41.0
32142,5,27,2001,14,PP,M,23.0,13.0
32143,5,27,2001,14,NL,M,30.0,80.0
32144,5,27,2001,15,PB,M,26.0,40.0
32145,5,27,2001,15,PP,F,21.0,19.0
32147,5,27,2001,15,PP,F,22.0,21.0
32148,5,27,2001,15,PF,F,16.0,8.0
32149,5,27,2001,5,PE,M,20.0,19.0
32152,6,25,2001,1,PB,M,26.0,38.0
32153,6,25,2001,1,PB,F,26.0,29.0
32154,6,25,2001,1,DO,F,36.0,54.0
32155,6,25,2001,1,PP,M,22.0,12.0
32156,6,25,2001,1,PP,M,22.0,20.0
32157,6,25,2001,1,PP,F,22.0,21.0
32158,6,25,2001,1,DO,M,35.0,26.0
32159,6,25,2001,1,PP,F,22.0,25.0
32160,6,25,2001,1,PB,M,26.0,39.0
32161,6,25,2001,1,NL,F,28.0,159.0
32162,6,25,2001,2,PP,M,22.0,22.0
32163,6,25,2001,2,PP,M,23.0,16.0
32164,6,25,2001,2,PP,M,22.0,17.0
32166,6,25,2001,2,PB,M,27.0,36.0
32167,6,25,2001,2,NL,F,30.0,173.0
32169,6,25,2001,12,PP,M,22.0,24.0
32170,6,25,2001,12,DM,F,36.0,30.0
32171,6,25,2001,12,DO,M,36.0,43.0
32172,6,25,2001,12,PP,F,22.0,19.0
32173,6,25,2001,12,DO,F,35.0,53.0
32174,6,25,2001,12,DM,M,36.0,48.0
32176,6,25,2001,12,DM,F,34.0,33.0
32177,6,25,2001,12,PP,F,22.0,19.0
32178,6,25,2001,12,PP,F,22.0,15.0
32179,6,25,2001,12,NL,F,31.0,221.0
32180,6,25,2001,19,PB,M,27.0,40.0
32181,6,25,2001,18,PB,F,27.0,22.0
32182,6,25,2001,18,PB,M,28.0,42.0
32183,6,25,2001,18,PB,F,22.0,42.0
32184,6,25,2001,18,PF,F,15.0,7.0
32185,6,25,2001,18,PB,M,26.0,34.0
32186,6,25,2001,18,PB,F,25.0,18.0
32188,6,25,2001,17,PP,F,23.0,18.0
32189,6,25,2001,17,DM,M,36.0,29.0
32190,6,25,2001,17,PP,F,21.0,10.0
32191,6,25,2001,17,DM,F,36.0,51.0
32192,6,25,2001,17,DM,M,35.0,47.0
32193,6,25,2001,17,DM,M,37.0,40.0
32194,6,25,2001,17,PB,M,27.0,37.0
32195,6,25,2001,17,DM,M,37.0,46.0
32196,6,25,2001,17,DM,F,35.0,43.0
32197,6,25,2001,17,DM,M,37.0,50.0
32198,6,25,2001,17,DM,M,37.0,50.0
32199,6,25,2001,17,DM,M,37.0,30.0
32200,6,25,2001,17,DM,F,37.0,46.0
32201,6,25,2001,22,PB,M,27.0,26.0
32202,6,25,2001,22,PB,M,28.0,41.0
32204,6,25,2001,22,PB,F,26.0,33.0
32205,6,25,2001,22,PB,M,27.0,32.0
32206,6,25,2001,22,DM,M,38.0,56.0
32207,6,25,2001,22,PP,F,22.0,17.0
32208,6,25,2001,21,PB,F,26.0,39.0
32209,6,25,2001,21,PB,M,27.0,24.0
32211,6,25,2001,21,PB,M,27.0,34.0
32212,6,25,2001,21,PB,F,26.0,26.0
32213,6,25,2001,21,PB,F,26.0,41.0
32214,6,25,2001,21,PB,M,26.0,19.0
32215,6,25,2001,20,PB,M,26.0,20.0
32216,6,25,2001,20,PB,F,27.0,37.0
32217,6,25,2001,20,PB,M,27.0,29.0
32218,6,25,2001,20,PF,F,16.0,8.0
32219,6,25,2001,20,PP,M,22.0,16.0
32220,6,25,2001,20,PB,M,26.0,19.0
