 Distance Energy
 0.97222 2.21267e-16
 1.23859 2.15627e-16
 1.16277 2.31744e-16
 0.77885 2.02989e-16
 1.07696 1.91891e-16
 1.06690 1.89694e-16
 1.05330 2.10243e-16
 0.93775 2.10754e-16
 0.92119 2.13471e-16
 0.82786 1.72739e-16
 1.07904 1.88929e-16
 1.26100 2.42481e-16
 0.92643 2.63707e-16
 1.01215 2.18413e-16
 1.55549 2.15309e-16
 1.09305 2.41388e-16
 1.16672 2.24425e-16
 1.27938 2.12781e-16
 1.26858 2.31982e-16
 1.13839 2.27438e-16
 1.13562 2.15946e-16
 1.34105 2.36696e-16
 1.33235 2.25940e-16
 1.13486 2.23185e-16
 1.29678 2.56302e-16
 1.32559 2.46042e-16
 1.47901 2.43111e-16
 1.04665 2.53485e-16
 1.34645 2.41562e-16
 1.26270 2.13959e-16
 1.14439 2.37128e-16
 1.19815 2.46134e-16
 1.45373 2.49541e-16
 1.12441 2.50814e-16
 1.27075 2.59664e-16
 1.37634 2.61340e-16
 1.27496 2.54363e-16
 1.33922 2.75989e-16
 1.40114 2.71402e-16
 1.50224 2.66462e-16
 1.24908 2.44406e-16
 1.23686 2.82841e-16
 1.60352 2.58735e-16
 1.66275 2.60790e-16
 1.17239 2.63580e-16
 1.27088 2.62816e-16
 1.54981 2.52817e-16
 1.55040 2.76479e-16
 1.44975 2.98540e-16
 1.50887 2.58332e-16
 1.82559 2.92070e-16
 1.41852 2.96984e-16
 1.18454 2.87514e-16
 1.57000 2.96557e-16
 1.47625 2.80175e-16
 1.40795 2.85820e-16
 1.81412 3.08161e-16
 1.79113 2.82927e-16
 1.62172 3.33229e-16
 1.43634 2.62622e-16
 1.63723 3.04238e-16
 1.49803 3.40459e-16
 1.13357 2.91264e-16
 1.80184 3.30467e-16
 1.48180 2.78410e-16
 1.79655 2.84395e-16
 1.73962 2.89899e-16
 1.97391 3.20010e-16
 1.64010 3.31708e-16
 1.57431 2.88126e-16
 1.90178 3.40069e-16
 1.59411 3.62003e-16
 1.68205 3.44774e-16
 1.67737 2.75045e-16
 2.00723 3.69276e-16
 1.75109 3.46522e-16
 1.76156 3.07333e-16
 2.03289 3.65916e-16
 2.05344 3.19441e-16
 1.95994 3.33727e-16
 1.66822 3.72001e-16
 1.67565 3.38593e-16
 1.89111 3.84756e-16
 1.84300 3.74054e-16
 1.96162 4.03004e-16
 1.85275 3.61826e-16
 1.72661 3.58087e-16
 1.64769 3.82851e-16
 1.80994 3.55613e-16
 2.42599 4.11023e-16
 1.99615 3.42543e-16
 1.73994 3.82452e-16
 1.99086 3.81894e-16
 1.73049 3.87838e-16
 2.16549 4.30166e-16
 1.80564 4.03341e-16
 1.80675 4.10396e-16
 2.04771 3.61003e-16
 1.86242 3.89636e-16
 1.74237 3.70653e-16
 2.02618 3.91918e-16
 1.56599 4.04781e-16
 1.80390 3.62229e-16
 2.51894 3.70751e-16
 2.18220 3.88603e-16
 2.06411 3.67101e-16
 2.09345 3.54682e-16
 2.00912 3.99305e-16
 2.32545 3.96942e-16
 2.36723 4.09365e-16
 1.75755 3.63811e-16
 2.42674 4.38179e-16
 2.29177 3.82978e-16
 1.92677 4.07226e-16
 2.17885 4.44673e-16
 1.96039 4.02222e-16
 2.20517 3.96139e-16
 2.19230 4.12204e-16
 1.89822 4.45348e-16
 2.35316 4.35704e-16
 1.92400 4.39444e-16
 2.20248 3.91324e-16
 2.51337 4.28356e-16
 2.22223 3.92139e-16
 2.47697 4.13420e-16
 2.24731 4.23278e-16
 2.28873 4.60922e-16
 2.09126 4.35280e-16
 2.20860 4.43509e-16
