Online TV Sales 
0.523256 9.45141 40.3415
0.539447 8.94502 35.6905
0.325468 8.01125 53.4347
0.514834 7.71204 44.2337
0.175287 5.91093 38.3476
0.518306 5.07848 37.2198
0.0407300 3.85690 34.5612
0.265895 3.72302 33.2377
1.13022 1.48222 22.5416
0.352241 0.125338 19.8541
0.214831 0.134827 17.5750
1.03600 10.9282 58.1403
1.22408 9.15716 47.3922
1.12223 8.52517 50.6427
0.742701 7.01173 37.9956
1.19721 5.84566 41.2324
1.17231 3.79513 32.8107
1.60726 3.62313 41.5130
0.317629 3.50735 34.4091
1.37501 1.99672 33.6771
1.08336 1.15993 29.0011
1.26831 0.107637 21.1266
2.56776 10.3235 72.2453
2.69497 9.35969 64.5798
2.05343 8.80380 47.1318
1.35226 7.06325 47.7154
2.41910 6.21559 53.1261
1.74540 5.57611 43.1824
2.71403 3.73604 54.5624
1.67137 2.18918 41.9572
1.99307 2.97794 32.4600
2.43445 1.29516 42.8385
1.95085 0.308138 39.4753
3.16012 9.85997 74.5661
3.22820 9.20648 57.3399
3.11575 8.34355 59.4678
3.17645 7.69464 58.2739
3.39840 6.34722 57.4640
3.44498 5.26844 50.0356
3.39241 3.90492 37.8716
3.01656 3.57579 43.5544
3.51982 2.22451 43.5349
2.05689 1.89321 42.4910
3.12286 0.574001 35.3685
3.75976 11.0206 72.9163
5.19214 9.06598 75.0541
5.40824 7.73544 69.1727
3.48572 6.35975 71.6803
4.33020 6.06303 64.4433
4.45523 5.76327 68.7383
3.57308 4.33305 47.0900
3.83272 2.10824 61.0867
5.06420 2.14288 55.1113
4.21797 0.970930 55.1880
3.71872 0.0302229 52.1647
4.63563 10.5378 79.7847
4.19218 8.77771 79.7316
5.16648 8.48602 73.9322
4.62911 7.83191 76.9826
5.51823 6.81964 66.5572
4.71015 5.06734 66.2491
4.43215 3.48346 54.1129
5.01399 3.44457 60.1779
4.37602 1.46869 54.0138
5.16993 0.980576 70.6178
5.20027 0.190671 62.3952
5.59827 10.4535 92.7082
5.52428 9.18485 92.8555
6.65614 8.00096 94.4850
6.26521 7.60374 80.1577
7.33806 5.74023 76.3759
5.72424 4.96490 71.5225
6.55535 4.07429 68.1590
6.41893 3.83914 71.3155
5.98372 1.94126 78.7121
5.82751 1.48610 62.4739
6.55899 0.572340 59.4654
7.03870 10.2165 94.3150
6.75416 9.39525 98.3085
7.39773 7.21478 81.7596
6.52704 7.36527 92.2049
7.89517 5.41104 89.2107
7.62151 4.82653 81.2332
7.66962 3.89447 74.8972
7.96024 2.34272 80.7562
6.33749 1.72014 62.1235
7.50423 1.07956 82.2042
7.28367 1.18859 77.5179
8.01185 10.5007 102.308
7.99791 9.17801 86.0141
7.76985 8.40565 102.516
8.34659 6.36497 88.3510
7.58847 6.06721 82.7250
8.78913 4.47974 87.7484
7.94935 3.32172 89.4271
7.69125 2.81325 87.8464
8.08321 2.34001 75.1830
8.09450 1.22208 74.5051
8.68153 0.585378 76.9352
9.35247 10.6557 107.732
9.56415 9.41882 120.494
9.51100 7.70677 102.401
8.52631 7.26534 91.4798
9.07840 5.43131 104.748
9.72465 4.29018 91.0487
9.09617 4.36048 91.6481
8.50666 2.46301 78.1487
9.84380 2.10275 94.7234
9.11417 1.54406 95.0541
8.26094 0.0955596 76.1225
11.0509 9.98707 104.096
9.88916 9.01942 113.318
10.0245 8.16329 106.785
8.89847 7.26837 99.8697
9.63069 5.26188 106.759
10.6402 4.82903 96.7019
9.66995 3.45683 93.5536
10.5570 3.31092 100.424
9.05920 2.36298 92.9137
10.1186 0.913940 95.8698
10.5190 0.116560 87.1655
